ticker,Market Cap ,Price/Book (mrq),Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin (ttm),Operating Margin (ttm),Revenue (ttm),Gross Profit (ttm),EBITDA (ttm),Net Income Avl to Common (ttm),Total Cash (mrq),Total Debt (mrq),Beta,% Held by Insiders,% Held by Institutions
ESS,14.60B,2.32,Dec 31,"Sep 30, 2015",16.25%,28.47%,16.64,658.39M,25.25,187.41M,35.67M,5.32B,0.22,1.21%,98.80%
EL,31.75B,9.07,Jun 30,"Sep 30, 2015",10.65%,15.40%,2.96,8.68B,15.49,1.17B,1.09B,2.07B,0.91,1.45%,95.10%
ES,16.21B,1.55,Dec 31,"Sep 30, 2015",11.28%,22.40%,3.17,3.29B,10.42,918.29M,155.48M,10.00B,0.42,0.83%,73.40%
EXC,26.53B,1.03,Dec 31,"Sep 30, 2015",6.59%,14.96%,1.53,5.86B,5.56,1.98B,7.26B,26.76B,0.28,0.22%,84.80%
EXPE,16.73B,6.86,Dec 31,"Sep 30, 2015",13.32%,7.45%,2.80,4.58B,25.24,842.97M,1.49B,2.48B,0.92,14.45%,90.50%
EXPD,9.27B,5.02,Dec 31,"Sep 30, 2015",6.51%,10.33%,1.22,1.98B,11.06,442.15M,976.94M,0.00,0.64,0.89%,93.50%
ESRX,57.65B,3.62,Dec 31,"Sep 30, 2015",2.24%,4.76%,0.74,7.93B,10.84,2.28B,438.20M,15.69B,0.75,0.25%,98.10%
XOM,340.03B,2.01,Dec 31,"Sep 30, 2015",7.56%,7.47%,1.41,127.27B,9.96,19.94B,4.30B,34.31B,1.02,0.13%,50.10%
FFIV,7.61B,5.72,Sep 30,"Sep 30, 2015",19.01%,28.80%,3.53,1.42B,11.40,365.01M,774.34M,0.00,1.04,0.26%,101.80%
FB,308.99B,7.33,Dec 31,"Sep 30, 2015",17.74%,30.24%,18.16,10.31B,43.50,2.81B,15.83B,126.00M,0.85,4.04%,68.60%
FDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FAST,11.66B,6.57,Dec 31,"Sep 30, 2015",13.50%,21.63%,3.08,1.90B,13.00,522.85M,111.78M,315.00M,1.11,4.71%,87.80%
FDX,45.56B,2.98,May 31,"Aug 31, 2015",2.27%,9.60%,1.03,30.47B,6.83,1.09B,3.54B,7.26B,1.20,7.19%,76.90%
FIS,18.97B,2.87,Dec 31,"Sep 30, 2015",11.26%,20.55%,3.63,2.08B,14.03,735.70M,441.50M,4.97B,0.69,1.01%,84.50%
FITB,16.22B,1.13,Dec 31,"Sep 30, 2015",25.04%,37.78%,5.69,N/A,N/A,1.35B,5.38B,21.71B,1.01,0.34%,80.20%
FSLR,5.53B,1.04,Dec 31,"Sep 30, 2015",15.65%,16.02%,1.13,827.10M,4.87,570.36M,1.81B,285.48M,2.82,26.64%,57.20%
FE,12.76B,0.99,Dec 31,"Sep 30, 2015",3.42%,12.03%,2.38,8.05B,10.71,498.00M,86.00M,22.17B,0.30,16.18%,61.30%
FISV,22.06B,7.71,Dec 31,"Sep 30, 2015",13.53%,24.97%,4.99,2.18B,16.18,704.00M,309.00M,4.24B,0.78,0.30%,91.60%
FLIR,3.70B,2.30,Dec 31,"Sep 30, 2015",15.72%,19.46%,2.30,750.37M,10.14,244.23M,525.38M,362.08M,0.56,6.05%,86.60%
FLS,6.09B,3.61,Dec 31,"Sep 30, 2015",7.63%,14.91%,1.63,1.71B,9.22,355.33M,238.01M,1.68B,1.61,0.39%,96.70%
FLR,6.97B,2.27,Dec 31,"Sep 30, 2015",3.53%,5.35%,0.31,1.40B,4.84,688.98M,2.03B,992.69M,1.39,0.28%,85.40%
FMC,5.32B,2.54,Dec 31,"Sep 30, 2015",19.03%,15.18%,1.82,1.38B,9.61,155.00M,173.70M,2.17B,1.78,0.56%,97.40%
FTI,7.67B,3.14,Dec 31,"Sep 30, 2015",7.14%,12.54%,1.19,1.94B,7.46,506.10M,711.50M,1.29B,0.76,7.32%,88.60%
F,56.91B,2.06,Dec 31,"Sep 30, 2015",3.29%,4.09%,1.11,17.86B,12.14,4.77B,22.18B,126.42B,1.16,0.31%,60.00%
FOSL,2.51B,3.15,Jan 3,"Jul 4, 2015",10.24%,15.70%,0.89,2.00B,4.87,350.57M,249.86M,697.14M,0.93,31.56%,89.40%
BEN,24.69B,2.08,Sep 30,"Sep 30, 2015",25.61%,38.09%,2.13,8.44B,5.50,2.04B,9.90B,2.20B,1.69,37.70%,50.10%
FCX,11.07B,1.02,Dec 31,"Sep 30, 2015",-63.56%,8.93%,2.06,1.93B,6.62,-11.01B,338.00M,20.70B,2.14,10.24%,68.40%
FTR,5.47B,0.95,Dec 31,"Sep 30, 2015",-1.44%,17.39%,3.79,4.77B,9.13,-149.15M,1.01B,16.29B,0.72,0.62%,71.00%
GME,4.71B,2.47,Jan 31,"Aug 1, 2015",4.26%,7.12%,0.54,2.78B,6.19,399.60M,136.20M,362.50M,0.96,1.88%,136.40%
GPS,10.87B,4.19,Jan 31,"Aug 1, 2015",6.95%,11.18%,0.70,6.29B,4.75,1.13B,1.04B,1.35B,1.10,43.41%,60.20%
GRMN,7.16B,2.24,Dec 27,"Sep 26, 2015",18.79%,20.40%,2.15,1.60B,9.28,534.09M,1.13B,0.00,0.71,36.25%,41.70%
GM,55.38B,1.65,Dec 31,"Sep 30, 2015",3.55%,4.47%,0.60,13.81B,6.77,4.53B,21.86B,57.40B,1.44,4.66%,76.50%
GD,45.40B,4.25,Dec 31,"Oct 4, 2015",9.06%,13.05%,1.43,5.87B,9.79,2.94B,3.37B,3.41B,0.75,0.52%,88.50%
GE,310.76B,2.74,Dec 31,"Sep 30, 2015",-4.96%,11.92%,3.95,64.73B,20.38,5.24B,16.81B,291.39B,1.28,0.05%,56.60%
GGP,23.66B,2.97,Dec 31,"Sep 30, 2015",57.53%,41.39%,14.80,1.75B,21.02,1.38B,160.67M,14.23B,0.83,1.42%,96.00%
GIS,34.21B,6.86,May 31,"Aug 30, 2015",7.41%,16.60%,2.44,5.95B,12.44,1.30B,450.60M,9.43B,0.68,0.32%,71.70%
GPC,13.50B,4.29,Dec 31,"Sep 30, 2015",4.60%,7.34%,0.91,4.59B,10.94,709.96M,199.29M,625.00M,1.15,2.72%,73.70%
GNW,2.37B,0.17,Dec 31,"Sep 30, 2015",-11.45%,0.56%,0.46,1.36B,7.96,-730.00M,5.75B,7.76B,2.41,0.16%,82.10%
GILD,155.07B,9.05,Dec 31,"Sep 30, 2015",53.78%,67.86%,5.20,21.10B,7.28,16.91B,15.71B,22.22B,1.10,0.60%,83.40%
GS,88.15B,1.15,Dec 31,"Sep 30, 2015",21.86%,38.86%,-6.87,34.53B,N/A,7.00B,714.45B,387.85B,1.40,6.42%,72.70%
GT,8.83B,2.11,Dec 31,"Sep 30, 2015",16.83%,10.06%,0.78,4.23B,5.47,2.82B,1.69B,6.00B,1.80,0.27%,88.80%
GOOGL,526.80B,4.49,Dec 31,"Sep 30, 2015",22.86%,25.61%,6.40,N/A,19.70,15.44B,70.91B,8.50B,0.91,0.17%,78.80%
GWW,13.29B,5.61,Dec 31,"Sep 30, 2015",7.72%,14.04%,1.48,4.31B,9.29,764.83M,258.15M,1.81B,0.73,13.10%,86.30%
HRB,10.20B,6.15,Apr 30,"Jul 31, 2015",15.90%,25.37%,2.94,1.75B,9.56,498.30M,1.71B,506.00M,1.06,0.37%,88.40%
HAL,32.53B,2.15,Dec 31,"Sep 30, 2015",0.94%,10.56%,1.42,5.21B,7.98,262.00M,2.30B,7.89B,0.97,0.24%,79.80%
HBI,12.36B,10.04,Jan 3,"Oct 3, 2015",6.83%,14.64%,2.57,1.90B,15.66,399.13M,284.60M,2.78B,1.20,1.25%,89.00%
HOG,9.67B,3.95,Dec 31,"Sep 27, 2015",13.04%,19.79%,2.67,2.44B,11.61,784.49M,1.01B,6.94B,0.64,0.50%,82.60%
HAR,7.35B,3.18,Jun 30,"Sep 30, 2015",5.46%,8.73%,1.28,1.82B,11.02,346.81M,410.86M,1.06B,0.61,0.56%,101.10%
HRS,9.89B,2.84,Jul 3,"Oct 2, 2015",6.22%,16.83%,2.54,1.72B,11.85,357.00M,320.00M,5.08B,1.30,0.30%,85.20%
HIG,19.17B,1.07,Dec 31,"Sep 30, 2015",8.92%,12.22%,1.14,7.81B,8.04,1.60B,4.19B,5.84B,1.03,0.18%,92.50%
HAS,9.79B,6.45,Dec 28,"Sep 27, 2015",10.42%,15.49%,2.58,2.58B,13.44,445.99M,574.13M,1.67B,1.14,10.03%,87.60%
HCA,27.63B,N/A,Dec 31,"Sep 30, 2015",5.31%,14.87%,1.48,30.66B,7.52,2.07B,639.00M,29.90B,0.50,20.94%,77.30%
HCP,15.39B,1.51,Dec 31,"Sep 30, 2015",9.53%,52.70%,10.78,2.19B,14.92,234.76M,120.50M,11.15B,0.02,0.20%,89.70%
HCN,20.91B,1.54,Dec 31,"Sep 30, 2015",25.90%,28.27%,8.97,1.90B,17.75,874.05M,292.04M,11.47B,0.03,0.31%,92.60%
HP,6.00B,1.25,Sep 30,"Jun 30, 2015",17.08%,27.06%,1.70,1.71B,4.02,608.43M,770.92M,571.54M,1.28,2.84%,99.50%
HSY,18.80B,20.93,Dec 31,"Oct 4, 2015",6.71%,19.50%,2.81,3.34B,12.36,502.08M,343.91M,2.77B,0.57,0.20%,75.40%
HES,17.58B,0.83,Dec 31,"Sep 30, 2015",-16.16%,-13.73%,2.77,6.98B,6.83,-1.20B,3.01B,6.55B,1.53,12.56%,79.30%
HPQ,25.09B,0.94,Oct 31,"Jul 31, 2015",4.30%,8.14%,0.32,26.62B,2.64,4.56B,17.18B,25.50B,1.50,10.50%,69.30%
HD,160.31B,18.62,Feb 1,"Aug 2, 2015",7.88%,12.75%,2.05,28.95B,13.81,6.73B,4.94B,19.38B,0.97,0.15%,73.40%
HON,79.69B,4.44,Dec 31,"Sep 30, 2015",11.66%,16.30%,2.04,11.35B,10.96,4.53B,10.33B,10.57B,0.98,0.17%,78.60%
HRL,17.85B,4.51,Oct 26,"Jul 26, 2015",7.12%,11.11%,1.91,1.56B,15.28,670.12M,349.17M,600.00M,0.96,48.89%,33.70%
HSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HST,12.94B,1.83,Dec 31,"Sep 30, 2015",12.04%,12.49%,3.16,3.32B,12.31,649.00M,265.00M,4.28B,1.12,1.72%,103.10%
HCBK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HUM,25.36B,2.53,Dec 31,"Sep 30, 2015",2.48%,4.56%,0.40,10.33B,7.88,1.32B,9.02B,4.13B,0.88,0.22%,96.30%
HBAN,9.21B,1.49,Dec 31,"Sep 30, 2015",23.60%,35.74%,5.46,N/A,N/A,646.40M,1.65B,8.10B,0.97,0.99%,72.90%
ITW,33.25B,6.55,Dec 31,"Sep 30, 2015",13.93%,21.09%,2.80,5.81B,11.38,1.91B,3.00B,7.81B,1.12,0.98%,77.40%
IR,15.38B,2.68,Dec 31,"Sep 30, 2015",5.20%,11.03%,1.46,3.91B,10.91,666.70M,651.50M,4.57B,1.39,0.32%,86.30%
INTC,155.00B,2.75,Dec 27,"Sep 26, 2015",20.79%,26.43%,2.84,35.61B,6.72,11.47B,21.21B,21.23B,0.89,0.04%,67.00%
ICE,29.01B,2.35,Dec 31,"Sep 30, 2015",36.53%,55.07%,10.15,4.12B,15.64,1.19B,708.00M,3.50B,0.95,1.55%,90.00%
IBM,130.86B,9.89,Dec 31,"Sep 30, 2015",16.96%,20.88%,1.93,46.41B,7.54,14.42B,9.57B,39.66B,0.64,0.05%,59.90%
IFF,9.35B,5.72,Dec 31,"Sep 30, 2015",14.04%,19.81%,3.28,1.36B,14.83,427.82M,272.28M,1.19B,1.24,1.59%,84.20%
IP,17.58B,4.00,Dec 31,"Sep 30, 2015",3.91%,10.71%,1.20,7.36B,7.24,903.00M,5.95B,15.92B,1.35,0.66%,86.70%
IPG,9.37B,5.02,Dec 31,"Sep 30, 2015",6.60%,11.12%,1.41,7.54B,10.70,503.20M,881.20M,1.75B,1.70,0.56%,97.40%
INTU,27.64B,11.78,Jul 31,"Jul 31, 2015",8.71%,21.14%,6.26,3.50B,24.12,413.00M,1.70B,500.00M,1.27,4.98%,87.90%
ISRG,18.66B,4.56,Dec 31,"Sep 30, 2015",23.75%,30.45%,7.42,1.41B,21.72,545.60M,1.74B,0.00,0.47,1.18%,92.50%
IVZ,14.14B,1.73,Dec 31,"Sep 30, 2015",20.08%,27.01%,3.67,5.15B,12.75,1.04B,2.41B,7.36B,1.51,1.32%,85.60%
IRM,6.24B,10.29,Dec 31,"Sep 30, 2015",4.30%,17.88%,3.60,1.77B,12.11,129.56M,492.90M,5.17B,0.99,4.63%,101.40%
JEC,5.15B,1.18,Sep 26,"Jun 26, 2015",2.94%,5.64%,0.43,2.07B,6.27,359.18M,553.56M,684.75M,1.49,2.12%,94.10%
JNJ,282.16B,3.92,Dec 28,"Sep 27, 2015",20.87%,26.73%,3.73,51.58B,11.68,14.72B,37.31B,19.94B,1.03,0.02%,67.30%
JCI,28.80B,2.78,Sep 30,"Sep 30, 2015",4.20%,6.62%,0.94,6.63B,10.48,1.44B,597.00M,6.61B,1.55,0.28%,80.30%
JOY,1.62B,0.60,Oct 31,"Jul 31, 2015",7.10%,11.82%,0.81,1.11B,5.08,244.13M,140.90M,1.27B,1.82,0.49%,111.00%
JPM,248.09B,1.13,Dec 31,"Sep 30, 2015",26.89%,36.35%,-0.99,91.07B,N/A,22.00B,978.05B,640.37B,1.17,0.55%,76.20%
JNPR,11.41B,2.57,Dec 31,"Sep 30, 2015",-7.19%,17.38%,2.46,2.86B,11.69,-333.70M,1.98B,1.95B,1.05,7.81%,81.00%
KSU,9.72B,2.53,Dec 31,"Sep 30, 2015",19.70%,32.82%,4.87,1.70B,11.05,485.00M,116.60M,2.34B,0.80,1.34%,92.80%
K,24.02B,8.95,Jan 3,"Oct 3, 2015",2.61%,7.94%,2.27,5.06B,19.46,362.00M,299.00M,7.95B,0.65,0.25%,82.60%
GMCR,7.17B,2.76,Sep 27,"Jun 27, 2015",11.64%,18.37%,1.72,1.82B,7.21,544.73M,80.32M,414.78M,1.43,25.34%,67.60%
KEY,11.03B,1.06,Dec 31,"Sep 30, 2015",23.04%,33.67%,5.14,N/A,N/A,914.00M,2.08B,12.07B,0.97,0.16%,83.20%
KMB,43.42B,798.12,Dec 31,"Sep 30, 2015",3.16%,18.24%,2.66,6.68B,11.90,612.00M,643.00M,7.66B,0.92,0.34%,69.10%
KIM,10.82B,2.17,Dec 31,"Sep 30, 2015",50.08%,34.46%,14.11,735.28M,22.16,530.54M,180.91M,5.50B,0.76,2.70%,90.30%
KMI,54.57B,1.60,Dec 31,"Sep 30, 2015",7.30%,28.43%,6.87,7.79B,15.72,1.06B,332.00M,44.67B,0.66,13.70%,56.50%
KLAC,10.44B,35.36,Jun 30,"Sep 30, 2015",14.17%,26.86%,4.01,1.60B,13.52,398.82M,2.27B,3.15B,1.97,0.23%,94.10%
KSS,8.42B,1.57,Jan 31,"Aug 1, 2015",4.01%,8.70%,0.68,6.92B,5.05,767.00M,934.00M,5.05B,1.49,0.87%,109.60%
KRFT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KR,36.13B,6.09,Jan 31,"Aug 15, 2015",1.78%,3.20%,0.44,22.95B,8.54,1.91B,268.00M,11.27B,1.08,0.78%,78.90%
LB,26.95B,N/A,Jan 31,"Aug 1, 2015",9.86%,17.28%,2.71,4.81B,12.83,1.15B,830.00M,4.76B,0.78,15.45%,76.60%
LLL,9.44B,2.07,Dec 31,"Sep 25, 2015",1.12%,8.60%,1.13,1.08B,10.71,129.00M,323.00M,3.95B,1.25,0.72%,84.10%
LH,12.25B,2.55,Dec 31,"Sep 30, 2015",5.69%,15.41%,2.38,2.20B,11.81,442.20M,713.00M,6.68B,0.72,5.66%,2.80%
LRCX,12.17B,2.25,Jun 28,"Sep 27, 2015",14.07%,18.25%,1.78,2.28B,7.67,803.17M,4.33B,2.37B,1.61,0.41%,101.70%
LM,4.77B,1.08,Mar 31,"Sep 30, 2015",11.38%,18.99%,1.69,2.76B,8.11,310.62M,1.11B,1.06B,1.56,0.69%,90.60%
LEG,6.28B,5.75,Dec 31,"Sep 30, 2015",6.76%,11.20%,1.79,790.40M,12.83,288.60M,251.20M,992.50M,1.07,12.33%,62.20%
LEN,10.55B,1.94,Nov 30,"Aug 31, 2015",8.41%,12.00%,1.82,1.44B,14.57,757.91M,706.28M,6.86B,1.03,68.97%,107.10%
LUK,6.81B,0.66,Dec 31,"Sep 30, 2015",1.84%,10.37%,0.52,2.66B,4.37,214.62M,24.05B,23.33B,1.01,13.20%,70.80%
LVLT,18.09B,2.67,Dec 31,"Sep 30, 2015",2.17%,16.98%,3.51,3.00B,11.38,176.00M,691.00M,11.01B,1.43,0.56%,87.90%
LLY,85.62B,5.58,Dec 31,"Sep 30, 2015",11.97%,19.71%,4.50,14.68B,16.72,2.36B,4.32B,8.08B,0.20,11.81%,65.90%
LNC,13.78B,0.96,Dec 31,"Sep 30, 2015",8.71%,12.18%,1.03,4.80B,8.42,1.22B,5.69B,6.26B,1.71,0.33%,84.30%
LLTC,10.62B,6.66,Jun 28,"Sep 27, 2015",34.82%,45.52%,6.44,1.12B,13.07,503.55M,1.24B,0.00,1.06,5.72%,90.00%
LMT,66.19B,23.39,Dec 31,"Sep 27, 2015",7.82%,11.73%,1.55,5.26B,11.92,3.58B,3.30B,8.41B,0.58,0.03%,83.90%
L,13.31B,0.72,Dec 31,"Sep 30, 2015",4.92%,16.74%,1.32,8.73B,5.65,676.00M,6.17B,10.77B,0.84,16.39%,27.00%
LOW,66.82B,7.83,Jan 30,"Jul 31, 2015",4.91%,8.90%,1.35,19.56B,11.64,2.82B,1.09B,11.36B,0.95,0.14%,77.10%
LYB,41.67B,5.78,Dec 31,"Sep 30, 2015",12.44%,17.10%,1.31,6.67B,6.63,4.47B,3.09B,8.33B,0.92,18.58%,76.20%
MTB,16.60B,1.41,Dec 31,"Sep 30, 2015",24.68%,38.92%,4.70,N/A,N/A,993.85M,6.36B,10.59B,0.63,8.05%,85.60%
MAC,12.33B,2.28,Dec 31,"Sep 30, 2015",113.49%,25.79%,14.42,663.32M,23.83,1.50B,93.01M,6.83B,0.89,0.66%,102.40%
M,13.36B,3.21,Jan 31,"Aug 1, 2015",5.09%,9.72%,0.79,11.24B,5.85,1.42B,843.00M,7.26B,1.06,0.30%,91.90%
MNK,6.61B,1.39,Sep 26,"Jun 26, 2015",-2.91%,17.72%,3.53,1.20B,10.19,-128.50M,225.30M,5.36B,0.80,5.46%,92.60%
MRO,11.70B,0.66,Dec 31,"Sep 30, 2015",-7.12%,-28.44%,2.74,8.60B,8.58,-1.50B,2.38B,8.36B,1.63,0.16%,83.10%
MPC,29.82B,2.38,Dec 31,"Sep 30, 2015",4.87%,7.95%,0.48,13.54B,4.76,3.46B,2.04B,6.69B,1.44,0.87%,83.90%
MAR,19.41B,N/A,Dec 31,"Sep 30, 2015",29.97%,46.60%,8.38,1.97B,16.47,854.00M,95.00M,4.30B,1.30,26.27%,56.60%
MMC,28.97B,4.65,Dec 31,"Sep 30, 2015",11.86%,18.44%,2.52,12.95B,11.61,1.49B,1.33B,4.48B,1.07,0.21%,86.00%
MLM,10.33B,2.39,Dec 31,"Sep 30, 2015",8.25%,15.21%,3.50,522.36M,14.92,268.29M,436.43M,1.71B,0.93,6.25%,104.00%
MAS,9.84B,N/A,Dec 31,"Sep 30, 2015",4.41%,10.91%,1.33,2.39B,10.46,401.00M,1.53B,3.42B,1.42,1.25%,92.30%
MA,114.32B,18.06,Dec 31,"Sep 30, 2015",38.77%,53.47%,11.40,9.47B,19.94,3.72B,5.11B,1.50B,1.26,10.55%,79.60%
MAT,8.15B,3.21,Dec 31,"Sep 30, 2015",5.34%,9.92%,1.80,3.00B,12.27,300.29M,289.70M,2.26B,1.30,0.25%,101.80%
MKC,10.81B,6.15,Nov 30,"Aug 31, 2015",9.38%,14.15%,2.84,1.73B,17.62,400.40M,111.90M,1.49B,0.65,0.25%,86.60%
MCD,104.69B,12.51,Dec 31,"Sep 30, 2015",17.24%,28.60%,4.66,10.46B,13.41,4.42B,2.45B,17.99B,0.79,0.05%,69.30%
MHFI,26.28B,39.52,Dec 31,"Sep 30, 2015",1.21%,38.79%,5.36,5.05B,12.95,-100.00M,1.44B,3.49B,1.49,2.94%,87.30%
MCK,42.34B,4.84,Mar 31,"Sep 30, 2015",0.96%,1.77%,0.25,11.41B,11.04,2.09B,5.36B,9.39B,0.84,0.29%,86.50%
MJN,16.24B,46.17,Dec 31,"Sep 30, 2015",16.29%,23.24%,3.98,2.71B,15.57,682.20M,1.36B,1.84B,1.43,0.21%,98.70%
MDT,107.45B,2.05,Apr 24,"Jul 31, 2015",11.35%,22.62%,5.43,13.95B,17.88,2.62B,17.99B,35.60B,1.42,0.05%,83.30%
MRK,150.03B,3.35,Dec 31,"Sep 30, 2015",27.11%,21.35%,4.19,25.47B,11.44,10.78B,12.09B,26.67B,0.78,0.04%,75.20%
MET,55.96B,0.80,Dec 31,"Sep 30, 2015",8.34%,13.31%,1.18,34.21B,8.46,5.86B,36.15B,64.85B,1.47,15.69%,77.50%
KORS,7.60B,4.20,Mar 28,"Sep 26, 2015",18.92%,26.54%,1.66,2.65B,5.50,853.81M,431.54M,9.54M,0.52,3.43%,86.80%
MCHP,9.57B,4.52,Mar 31,"Sep 30, 2015",17.75%,20.00%,4.81,1.23B,14.81,381.02M,2.00B,2.69B,0.92,2.38%,98.80%
MU,16.14B,1.31,Sep 3,"Sep 3, 2015",17.90%,18.43%,1.24,5.22B,3.54,2.90B,3.52B,7.39B,1.82,0.53%,91.80%
MSFT,429.79B,5.52,Jun 30,"Sep 30, 2015",13.52%,29.73%,4.04,60.54B,11.31,12.27B,99.23B,38.72B,1.07,3.78%,72.60%
MHK,13.89B,2.93,Dec 31,"Oct 3, 2015",7.11%,10.42%,2.12,2.15B,14.44,570.61M,110.72M,3.19B,1.19,15.12%,82.60%
TAP,17.13B,2.25,Dec 31,"Sep 30, 2015",11.38%,10.84%,5.11,1.65B,27.13,415.40M,393.60M,3.00B,0.83,0.16%,37.30%
MDLZ,70.81B,2.38,Dec 31,"Sep 30, 2015",27.32%,12.57%,2.74,12.60B,17.62,8.50B,2.10B,16.46B,1.32,2.90%,77.40%
MON,41.27B,6.22,Aug 31,"Aug 31, 2015",15.43%,26.77%,3.08,8.18B,9.77,2.29B,3.64B,9.04B,1.19,0.27%,83.10%
MNST,30.96B,6.62,Dec 31,"Sep 30, 2015",19.88%,34.67%,10.44,1.34B,29.22,533.32M,2.79B,0.00,0.98,31.87%,65.40%
MCO,19.94B,N/A,Dec 31,"Sep 30, 2015",27.45%,42.63%,6.00,2.40B,13.09,959.70M,1.94B,3.12B,1.19,0.41%,93.10%
MS,67.90B,1.01,Dec 31,"Sep 30, 2015",10.14%,28.18%,-2.75,34.28B,N/A,3.19B,438.86B,272.05B,1.51,0.25%,80.80%
MOS,11.25B,1.16,Dec 31,"Sep 30, 2015",13.24%,16.30%,1.51,1.93B,6.04,1.20B,1.28B,3.80B,-0.22,5.40%,85.80%
MSI,12.39B,N/A,Dec 31,"Oct 3, 2015",9.12%,18.95%,2.44,2.83B,11.30,-563.00M,2.20B,4.39B,0.23,0.40%,89.90%
MUR,5.01B,0.88,Dec 31,"Sep 30, 2015",-39.03%,-78.99%,2.19,4.20B,4.40,-1.23B,1.29B,3.34B,0.22,9.95%,84.40%
MYL,21.81B,2.28,Dec 31,"Sep 30, 2015",9.34%,19.99%,3.12,3.53B,10.68,842.20M,637.70M,6.43B,1.36,14.24%,37.80%
NDAQ,9.63B,1.73,Dec 31,"Sep 30, 2015",10.58%,26.49%,3.40,1.95B,11.17,366.00M,310.00M,2.44B,0.87,18.44%,78.40%
NOV,14.18B,0.80,Dec 31,"Sep 30, 2015",7.60%,13.04%,0.94,5.81B,5.44,1.35B,1.85B,3.98B,-1.72,0.14%,93.40%
NAVI,4.55B,1.19,Dec 31,"Sep 30, 2015",40.97%,61.93%,56.45,N/A,N/A,973.00M,2.19B,131.93B,1.24,0.53%,98.20%
NTAP,9.58B,3.30,Apr 24,"Jul 31, 2015",7.40%,9.53%,1.07,3.83B,8.84,441.90M,4.95B,1.49B,0.70,0.08%,97.20%
NFLX,48.29B,22.22,Dec 31,"Sep 30, 2015",2.53%,4.83%,7.45,1.75B,128.89,162.83M,2.61B,2.40B,1.37,1.82%,87.50%
NWL,12.01B,6.65,Dec 31,"Sep 30, 2015",6.61%,13.94%,2.44,2.20B,14.52,388.40M,266.20M,2.73B,0.95,0.56%,92.60%
NFX,6.50B,3.16,Dec 31,"Sep 30, 2015",-138.40%,44.14%,5.27,1.79B,5.33,-2.33B,7.00M,2.50B,1.15,0.69%,99.00%
NEM,9.41B,0.80,Dec 31,"Sep 30, 2015",6.17%,30.61%,1.59,2.84B,3.61,479.00M,2.99B,6.35B,0.48,0.13%,80.30%
NWSA,7.98B,0.72,Jun 30,"Sep 30, 2015",-0.43%,4.87%,0.76,N/A,8.58,-106.00M,1.90B,0.00,1.85,10.65%,87.80%
NEE,45.97B,2.04,Dec 31,"Sep 30, 2015",17.31%,29.42%,4.13,8.27B,8.83,3.13B,1.18B,30.26B,0.57,0.24%,73.50%
NKE,108.76B,8.61,May 31,"Aug 31, 2015",11.25%,14.02%,3.43,14.07B,21.26,3.49B,5.48B,1.21B,0.55,0.20%,83.90%
NI,6.18B,1.61,Dec 31,"Sep 30, 2015",6.21%,19.56%,2.08,4.25B,7.11,472.60M,31.70M,6.68B,0.52,0.59%,80.80%
NE,3.23B,0.48,Dec 31,"Sep 30, 2015",1.67%,36.52%,2.38,1.67B,4.85,63.89M,164.43M,4.49B,1.67,0.73%,101.80%
NBL,15.69B,1.28,Dec 31,"Sep 30, 2015",-0.31%,8.88%,7.03,4.14B,8.91,-10.00M,1.03B,8.09B,1.23,1.59%,88.90%
JWN,11.75B,4.89,Jan 31,"Aug 1, 2015",5.22%,9.50%,1.06,5.10B,7.92,736.00M,423.00M,3.14B,0.73,26.42%,56.60%
NSC,26.56B,2.18,Dec 31,"Sep 30, 2015",15.71%,29.24%,3.29,7.42B,8.60,1.70B,433.00M,9.78B,1.10,0.30%,69.80%
NTRS,17.34B,2.06,Dec 31,"Sep 30, 2015",20.83%,31.00%,0.92,N/A,N/A,936.10M,21.74B,8.77B,0.73,0.47%,84.30%
NOC,33.20B,5.82,Dec 31,"Sep 30, 2015",8.51%,13.15%,1.60,5.60B,10.60,2.04B,1.29B,6.53B,0.83,0.59%,86.00%
NRG,4.10B,0.47,Dec 31,"Sep 30, 2015",0.32%,9.13%,1.46,4.09B,7.28,-13.00M,2.26B,20.22B,0.91,0.63%,104.00%
NUE,13.19B,1.74,Dec 31,"Oct 3, 2015",3.50%,6.83%,0.88,1.91B,8.16,627.79M,2.00B,4.42B,1.36,4.02%,74.60%
NVDA,16.48B,3.74,Jan 25,"Oct 25, 2015",12.34%,16.94%,2.76,2.60B,13.08,599.59M,4.73B,1.42B,0.88,5.25%,87.50%
ORLY,26.73B,13.42,Dec 31,"Sep 30, 2015",11.49%,18.93%,3.60,3.71B,16.59,894.32M,276.92M,1.40B,0.77,2.73%,91.90%
OXY,57.74B,1.95,Dec 31,"Sep 30, 2015",-43.37%,-58.19%,4.58,12.51B,10.76,-6.06B,2.55B,8.33B,0.86,0.36%,81.60%
OMC,17.73B,7.15,Dec 31,"Sep 30, 2015",7.19%,12.74%,1.38,15.32B,9.38,1.08B,1.43B,4.63B,1.41,0.69%,99.20%
